job_id,job_title,company,location,job_description,experience,education,salary_lpa,job_type,required_skills
JOB103863,Business Analyst,Deloitte,"Chennai, Tamil Nadu","We are hiring a Business Analyst at Deloitte in Chennai, Tamil Nadu. The role requires 1-3 years of experience and BE Computer Engineering or a related qualification. The candidate will build reports, dashboards, models or automated workflows, and work on projects involving Power BI, SQL, JIRA, Statistics. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with Power BI, SQL, JIRA, Statistics is preferred. This is a contract opportunity.",1-3 years,Be Computer Engineering,5.5,Contract,"SQL, JIRA, Power BI, Statistics"
JOB154438,Business Analyst,Persistent Systems,,"We are hiring a Business Analyst at Persistent Systems in Remote, India. The role requires 5-8 years of experience and MCA or a related qualification. The candidate will develop and maintain solutions related to business analyst, and work on projects involving Tableau, Excel, SQL, Power BI. Key responsibilities include develop and maintain solutions related to business analyst, solving technical problems, improving performance, and communicating results. Experience with Tableau, Excel, SQL, Power BI is preferred. This is a internship opportunity.",5-8 years,MCA,8.5,Internship,"Tableau, Power BI, Excel, Statistics, SQL"
JOB259541,Machine Learning Engineer,Deloitte,"Nagpur, Maharashtra","We are hiring a Machine Learning Engineer at Deloitte in Nagpur, Maharashtra. The role requires 8-12 years of experience and MBA or a related qualification. The candidate will develop and maintain solutions related to machine learning engineer, and work on projects involving TensorFlow, Scikit-learn, Machine Learning, AWS, Python, SQL. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with TensorFlow, Scikit-learn, Machine Learning, AWS, Python, SQL is preferred. This is a part-time opportunity.",8-12 years,MBA,13.0,Part-time,"Python, Scikit-learn, TensorFlow, Machine Learning, AWS, SQL"
JOB134355,Python Developer,Wipro,"Remote, India","We are hiring a Python Developer at Wipro in Remote, India. The role requires 1-3 years of experience and MSc Data Science or a related qualification. The candidate will analyze business requirements and convert them into technical solutions, and work on projects involving Docker, REST API, Django, Python. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with Docker, REST API, Django, Python is preferred. This is a full-time opportunity.",1-3 years,MSc Data Science,5.7,Full-time,"Python, REST API, Git, Docker, FastAPI, Django"
JOB154998,Software Engineer,Capgemini,"Bengaluru, Karnataka","We are hiring a Software Engineer at Capgemini in Bengaluru, Karnataka. The role requires 2-5 years of experience and MBA or a related qualification. The candidate will analyze business requirements and convert them into technical solutions, and work on projects involving REST API, Java, Docker, SQL. Key responsibilities include develop and maintain solutions related to software engineer, solving technical problems, improving performance, and communicating results. Experience with REST API, Java, Docker, SQL is preferred. This is a contract opportunity.",2-5 years,,5.0 LPA,Contract,C++ | Docker | REST API | SQL | Agile | Java
JOB000257,Business Analyst,Persistent Systems,"bengaluru, karnataka","We are hiring a Business Analyst at Persistent Systems in Bengaluru, Karnataka. The role requires 8-12 years of experience and BCA or a related qualification. The candidate will develop and maintain solutions related to business analyst, and work on projects involving Statistics, Tableau, SQL, Power BI, Excel, JIRA. Key responsibilities include analyze business requirements and convert them into technical solutions, solving technical problems, improving performance, and communicating results. Experience with Statistics, Tableau, SQL, Power BI, Excel, JIRA is preferred. This is a full-time opportunity.",8-12 years ,BCA,13.7,Full-time,"Tableau, Statistics, Power BI, Excel, JIRA, SQL"
JOB074056,NLP Engineer,IBM,"Bengaluru, Karnataka","We are hiring a NLP Engineer at IBM in Bengaluru, Karnataka. The role requires 3-6 years of experience and BSc Computer Science or a related qualification. The candidate will collaborate with cross-functional teams, and work on projects involving BERT, Python, Machine Learning, Transformers. Key responsibilities include build reports, dashboards, models or automated workflows, solving technical problems, improving performance, and communicating results. Experience with BERT, Python, Machine Learning, Transformers is preferred. This is a full-time opportunity.",3-6 years,BSc Computer Science,6.6,Full-time,"NLP, BERT, Transformers, Machine Learning, Python"
JOB174713,Java Developer,Siemens,"Remote, India","We are hiring a Java Developer at Siemens in Remote, India. The role requires 1-3 years of experience and BSc Computer Science or a related qualification. The candidate will build reports, dashboards, models or automated workflows, and work on projects involving Docker, Git, Spring Boot, Microservices, Hibernate, Java, REST API. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with Docker, Git, Spring Boot, Microservices, Hibernate, Java, REST API is preferred. This is a contract opportunity.",1-3 years,BSc Computer Science,4.5,Contract,"Git, SQL, REST API, Docker, Java, Spring Boot, Hibernate, Microservices"
JOB187592,Business Analyst,TCS,"Delhi, India","We are hiring a Business Analyst at TCS in Delhi, India. The role requires 5-8 years of experience and BE Computer Engineering or a related qualification. The candidate will clean, transform and validate data, and work on projects involving Power BI, SQL, Tableau, Statistics. Key responsibilities include write documentation and perform testing, solving technical problems, improving performance, and communicating results. Experience with Power BI, SQL, Tableau, Statistics is preferred. This is a contract opportunity.", 5-8 years ,BE Computer Engineering,,Contract,"Statistics, SQL, Tableau, Power BI"
JOB191363,Python Developer,Siemens,"Nagpur, Maharashtra","We are hiring a Python Developer at Siemens in Nagpur, Maharashtra. The role requires 8-12 years of experience and BTech Computer Science or a related qualification. The candidate will develop and maintain solutions related to python developer, and work on projects involving Python, FastAPI, Django, Flask, Docker, SQL. Key responsibilities include collaborate with cross-functional teams, solving technical problems, improving performance, and communicating results. Experience with Python, FastAPI, Django, Flask, Docker, SQL is preferred. This is a contract opportunity.",8-12 years,BTech Computer Science,13.8,Contract,"Django, Python, Docker, SQL, FastAPI, Flask, REST API"
