Employee ID,Department,Salary,Experience,Gender,Attrition,Performance,Education
EMP100001,Sales,1156317,9,Female,No,Excellent,MCA
EMP100002,R&D,686054,3,Male,No,Average,BE
EMP100003,IT,2596612,20,Male,No,Good,B.Tech
EMP100004,Operations,1082733,10,Female,No,Average,B.Sc
EMP100005,Sales,1433826,8,Male,No,Good,BBA
EMP100006,Sales,1459096,9,Female,No,Average,BBA
EMP100007,Finance,1887347,15,Male,No,Good,B.Tech
EMP100008,Administration,499339,3,Female,No,Excellent,M.Sc
EMP100009,Sales,1989991,13,Female,No,Good,B.Com
EMP100010,HR,727384,5,Female,Yes,Good,M.Com
EMP100011,R&D,3320482,18,Male,No,Good,BCA
EMP100012,Marketing,2761535,17,Female,No,Average,M.Com
EMP100013,Legal,994270,6,Male,No,Good,PhD
EMP100014,HR,1125779,7,Male,No,Average,M.Com
EMP100015,IT,1328092,10,Male,No,Average,BCA
EMP100016,IT,1272277,7,Male,No,Poor,M.Tech
EMP100017,R&D,837725,3,Female,No,Good,M.Sc
EMP100018,Finance,1396841,7,Female,No,Good,BE
EMP100019,R&D,1165186,4,Male,Yes,Poor,B.Com
EMP100020,Finance,1506752,8,Male,No,Excellent,M.Com
EMP100021,Customer Support,1561778,14,Female,No,Good,B.Sc
EMP100022,Customer Support,2082169,18,Male,No,Average,MCA
EMP100023,Marketing,644234,3,Female,No,Good,PhD
EMP100024,Administration,2340620,17,Female,No,Good,M.Com
EMP100025,Marketing,2249338,18,Male,No,Average,B.Tech
EMP100026,HR,811209,6,Male,No,Excellent,MCA
EMP100027,R&D,1861377,15,Female,No,Good,BCA
EMP100028,Operations,1052342,9,Female,No,Good,BBA
EMP100029,Operations,1913364,11,Male,No,Good,B.Com
EMP100030,Legal,995887,5,Male,No,Good,M.Com
EMP100031,IT,1203726,9,Female,No,Excellent,M.Sc
EMP100032,Marketing,1438521,8,Male,No,Excellent,BBA
EMP100033,Customer Support,3069550,25,Female,No,Good,B.Sc
EMP100034,Administration,1935525,13,Female,No,Good,B.Sc
EMP100035,R&D,1467314,10,Male,No,Good,M.Com
EMP100036,Finance,1816617,14,Female,No,Good,M.Tech
EMP100037,Customer Support,736282,5,Male,No,Good,BE
EMP100038,Operations,834712,4,Male,No,Excellent,BE
EMP100039,Marketing,679465,2,Female,No,Average,M.Sc
EMP100040,Finance,1283864,7,Female,No,Average,M.Sc
EMP100041,R&D,745080,2,Male,No,Good,M.Tech
EMP100042,Legal,1643614,10,Female,No,Good,BCA
EMP100043,Customer Support,384975,0,Female,No,Poor,MBA
EMP100044,Administration,1807377,14,Male,Yes,Good,M.Com
EMP100045,Marketing,409152,1,Female,Yes,Good,PhD
EMP100047,Marketing,2315003,17,Male,No,Average,MBA
EMP100048,R&D,918496,4,Male,No,Good,PhD
EMP100049,Legal,1351916,7,Male,No,Good,BBA
EMP100050,HR,730460,6,Female,No,Good,M.Com
EMP100051,Administration,431727,0,Male,No,Good,M.Tech
EMP100052,R&D,959449,5,Male,No,Average,BE
EMP100053,Administration,951162,5,Female,No,Average,PhD
EMP100054,Legal,2121029,11,Female,No,Average,PhD
EMP100055,Operations,554918,3,Female,No,Average,mba 
EMP100057,HR,511559,3,Male,No,Poor,M.Sc
EMP100058,HR,2443670,17,Female,No,Excellent,B.Sc
EMP100059,Sales,451413,1,Male,No,Average,M.Tech
EMP100060,Operations,640677,3,Female,No,Good,MBA
EMP100061,HR,1018794,10,Female,Yes,Poor,MBA
EMP100062,Marketing,1397140,7,Female,No,Good,M.Com
EMP100063,Finance,2956850,17,Male,No,Excellent,B.Tech
EMP100064,Legal,1019024,4,Female,No,Average,BE
EMP100065,Operations,1298967,10,Female,No,Average,MBA
EMP100066,Sales,962192,6,Male,No,Average,MCA
EMP100067,Legal,510542,0,Male,No,Good,PhD
EMP100068,Customer Support,415172,0,Male,No,Average,BE
EMP100069,Marketing,1759187,11,Male,No,Good,MCA
EMP100070,Marketing,489623,0,Male,No,Average,BBA
EMP100071,Marketing,994194,6,Male,No,Average,B.Sc
EMP100072,Administration,1046800,7,Female,No,Good,M.Sc
EMP100073,Customer Support,1112331,7,Male,No,Good,B.Sc
EMP100074,Sales,755454,4,Female,No,Good,BBA
EMP100075,R&D,1449034,10,Male,No,Good,BCA
EMP100076,Marketing,1336519,9,Male,No,Good,BBA
EMP100077,Marketing,2604992,16,Male,No,Average,PhD
EMP100078,Legal,1290830,8,Female,No,Good,BE
EMP100079,HR,531491,3,Male,Yes,Average,BE
EMP100080,Marketing,1618789,14,Female,No,Good,B.Tech
EMP100081,Customer Support,1072838,9,Male,No,Excellent,BE
EMP100082,Marketing,1282858,8,Male,No,Average,MBA
EMP100083,Operations,920006,5,Male,No,Excellent,PhD
EMP100084,R&D,1706973,7,Male,No,Excellent,M.Tech
EMP100085,IT,769636,3,Female,No,Average,B.Com
EMP100087,Sales,1260609,8,Male,No,Good,B.Sc
EMP100088,Customer Support,1098385,8,Female,No,Good,PhD
EMP100089,Administration,350000,0,Female,No,Good,M.Com
EMP100090,Sales,1479290,13,Male,No,Good,BBA
EMP100091,Operations,1202674,8,Male,No,Average,B.Tech
EMP100092,IT,760381,3,Male,No,Good,BCA
EMP100093,Customer Support,505197,3,Male,No,Poor,MCA
EMP100095,Customer Support,702490,5,Female,No,Good,B.Sc
EMP100096,Sales,949138,6,Female,Yes,Poor,MBA
EMP100097,Finance,571314,2,Female,No,Good,B.Com
EMP100098,HR,1051449,7,Female,No,Good,BBA
EMP100099,Customer Support,350000,0,Male,No,Good,BBA
EMP100100,Legal,3033556,17,Female,No,Good,MBA
EMP100101,Legal,1191759,4,Male,No,Excellent,BE
EMP100102,Finance,1577130,15,Male,No,Poor,MCA
EMP100103,Sales,449600,1,Female,No,Good,BBA
EMP100104,Administration,987042,9,Male,No,Good,BCA
EMP100105,Sales,681141,2,Female,No,Average,B.Sc
EMP100106,IT,1028620,5,Female,No,Excellent,B.Com
EMP100107,IT,889414,4,Male,No,Good,M.Tech
EMP100108,HR,1792285,11,Female,No,Good,BBA
EMP100109,HR,361644,0,Male,No,Good,BCA
EMP100110,Administration,1718355,15,Male,No,Poor,M.Com
EMP100111,IT,445047,0,Female,No,Average,MBA
EMP100112,Administration,377333,0,Female,No,Good,MCA
EMP100113,Sales,1315990,7,Male,No,Poor,MBA
EMP100114,Operations,1002821,5,Female,No,Average,M.Com
EMP100115,Administration,472925,1,Female,Yes,Good,M.Sc
EMP100116,Marketing,1478761,8,Female,No,Good,B.Sc
EMP100117,Legal,1665530,7,Male,No,Good,BBA
EMP100118,Marketing,2104021,13,Female,No,Good,M.Sc
EMP100119,Legal,695045,3,Male,No,Poor,B.Com
EMP100120,Operations,571582,2,Female,No,Good,M.Com
EMP100121,R&D,948235,4,Female,No,Good,B.Com
EMP100122,R&D,2138518,14,Female,No,Poor,MCA
EMP100123,Marketing,1368295,7,Female,No,Good,BBA
EMP100124,HR,402679,0,Male,No,Excellent,PhD
EMP100125,Customer Support,1324460,14,Female,No,Excellent,MBA
EMP100126,IT,1749269,12,Male,Yes,Good,BCA
EMP100127,Operations,542733,2,Female,No,Average,MCA
EMP100128,IT,512169,0,Male,No,Excellent,M.Com
EMP100129,Finance,469378,1,Female,Yes,Excellent,MCA
EMP100130,Marketing,696364,3,Female,No,Good,BBA
EMP100131,Finance,1241963,8,Female,No,Excellent,M.Com
EMP100132,Administration,1289310,7,Female,No,Good,M.Com
EMP100133,Operations,2666917,16,Female,No,Good,B.Sc
EMP100134,Finance,1725939,13,Female,No,Average,M.Com
EMP100135,Sales,2691202,20,Female,No,Good,M.Sc
EMP100136,Operations,1064961,7,Male,No,Good,M.Tech
EMP100137,IT,1177497,4,Male,No,Good,BBA
EMP100138,IT,2470688,18,Female,No,Good,B.Tech
EMP100139,Sales,1382188,10,Male,Yes,Poor,M.Com
EMP100140,Operations,834016,4,Male,No,Good,PhD
EMP100141,Sales,1121825,8,Female,No,Good,M.Tech
EMP100142,Sales,2077335,14,Male,No,Average,M.Tech
EMP100143,R&D,449705,0,Female,Yes,Good,B.Com
EMP100144,Marketing,1190232,10,Female,No,Excellent,M.Com
EMP100145,Customer Support,470389,2,Male,Yes,Good,PhD
EMP100146,Legal,455956,0,Male,Yes,Good,BCA
EMP100147,HR,391331,1,Male,No,Excellent,B.Com
EMP100148,Marketing,1193243,9,Female,No,Average,M.Sc
EMP100149,Finance,868731,4,Female,No,Good,M.Tech
EMP100150,Finance,540868,0,Male,No,Good,BBA
EMP100151,IT,2229184,14,Female,No,Good,B.Tech
EMP100152,HR,751162,5,Male,No,Poor,BBA
EMP100154,Operations,655236,2,Female,No,Good,PhD
EMP100155,Marketing,2676267,18,Male,Yes,Excellent,M.Com
EMP100156,Marketing,962200,5,Female,No,Good,M.Tech
EMP100157,Marketing,1872656,13,Female,No,Good,M.Sc
EMP100158,Finance,990989,5,Female,No,Good,B.Tech
EMP100159,R&D,1381662,8,Female,No,Poor,M.Com
EMP100160,HR,1005564,7,Female,No,Average,B.Tech
EMP100161,Marketing,1291759,8,Male,Yes,Average,BBA
EMP100162,Operations,801614,4,Female,No,Poor,BE
EMP100163,IT,2326757,11,Female,No,Average,PhD
EMP100164,Administration,1844711,13,Male,Yes,Average,M.Sc
EMP100165,Marketing,479946,0,Female,No,Excellent,B.Com
EMP100166,Legal,1046896,4,Female,No,Average,PhD
EMP100167,Legal,3500762,17,Female,No,Good,BBA
EMP100168,Marketing,2319470,17,Female,No,Good,B.Com
EMP100169,HR,446260,0,Female,No,Good,M.Com
EMP100170,HR,781490,5,Male,No,Good,B.Sc
EMP100171,Finance,447007,0,Male,No,Average,BCA
EMP100172,Finance,1936073,14,Female,No,Good,MCA
EMP100173,Administration,891920,5,Female,No,Average,B.Sc
EMP100174,Sales,1032604,4,Female,No,Good,MCA
EMP100175,IT,1268924,7,Male,No,Average,BBA
EMP100176,Legal,1401077,8,Female,No,Good,BE
EMP100177,HR,464776,0,Male,No,Average,PhD
EMP100178,Sales,966803,4,Male,No,Good,MCA
EMP100179,Operations,1243408,7,Male,No,Good,MCA
EMP100180,Finance,2023064,11,Female,No,Excellent,M.Tech
EMP100181,R&D,1847116,12,Male,No,Average,BCA
EMP100182,Sales,1296325,10,Male,No,Excellent,B.Com
EMP100183,Customer Support,1568256,11,Male,No,Excellent,M.Tech
EMP100184,Sales,1435366,9,Female,No,Good,BCA
EMP100185,Marketing,898706,6,Female,No,Average,B.Sc
EMP100186,Operations,376386,0,Male,Yes,Good,BBA
EMP100187,HR,1993301,12,Female,No,Average,B.Tech
EMP100188,R&D,3227284,20,Female,No,Average,M.Sc
EMP100189,Sales,769056,4,Male,No,Good,MCA
EMP100190,IT,942191,6,Female,No,Good,BCA
EMP100191,Administration,383124,0,Female,No,Good,BCA
EMP100192,Legal,1789569,7,Female,No,Average,BE
EMP100193,R&D,551109,0,Male,No,Excellent,BBA
EMP100194,Operations,1189725,7,Male,Yes,Excellent,M.Tech
EMP100195,Operations,1050346,10,Female,No,Excellent,M.Com
EMP100196,Legal,1477765,7,Male,No,Good,MCA
EMP100197,Legal,919321,5,Female,No,Average,B.Com
EMP100198,R&D,1288163,8,Male,No,Excellent,PhD
EMP100199,Customer Support,1200702,10,Female,No,Average,M.Com
EMP100200,IT,1601380,8,Male,No,Good,BCA
EMP100201,Finance,1407870,7,Female,No,Poor,B.Tech
EMP100202,IT,1453442,9,Male,No,Average,M.Tech
EMP100203,Sales,1410902,10,Male,No,Average,MBA
EMP100204,Marketing,1748644,13,Male,No,Average,MCA
EMP100205,Administration,1363928,15,Female,No,Average,PhD
EMP100206,Legal,1550640,10,Male,No,Poor,MCA
EMP100207,Administration,1624748,13,Female,No,Excellent,B.Com
EMP100208,Marketing,1820873,11,Male,Yes,Average,M.Com
EMP100209,Legal,2392321,14,Male,No,Good,B.Com
EMP100210,Operations,1662031,11,Female,No,Good,B.Tech
EMP100211,R&D,493202,0,Male,No,Average,B.Com
EMP100212,IT,2031793,11,Male,No,Average,BE
EMP100213,Operations,1686602,14,Male,No,Poor,PhD
EMP100214,Operations,1478126,15,Female,No,Good,B.Sc
EMP100215,Sales,1340736,10,Male,No,Good,BCA
EMP100216,Legal,1077912,6,Male,No,Average,BE
EMP100217,Marketing,1960042,12,Female,No,Good,B.Sc
EMP100218,Sales,825665,6,Male,No,Good,M.Sc
EMP100219,Legal,1780633,9,Female,No,Average,BE
EMP100220,Administration,350746,0,Male,No,Poor,BBA
EMP100221,Legal,1620541,9,Female,No,Good,BCA
EMP100222,Operations,1760338,11,Female,No,Excellent,MBA
EMP100223,Sales,1062516,8,Female,No,Excellent,BE
EMP100224,Customer Support,822320,5,Female,No,Excellent,B.Sc
EMP100225,R&D,1140629,6,Male,No,Good,B.Sc
EMP100226,Operations,1993922,13,Male,No,Good,B.Com
EMP100228,Operations,668438,3,Male,No,Good,BBA
EMP100229,Finance,1389214,7,Female,Yes,Good,B.Sc
EMP100230,Legal,672980,3,Male,No,Poor,B.Tech
EMP100231,Administration,1024728,10,Female,No,Poor,M.Tech
EMP100232,Customer Support,1187515,8,Male,No,Average,BE
EMP100233,Customer Support,742341,4,Female,No,Good,M.Sc
EMP100234,Administration,1138689,8,Female,No,Good,MCA
EMP100235,Finance,1314146,9,Male,No,Average,MCA
EMP100236,Administration,1221832,8,Male,No,Average,M.Sc
EMP100237,Administration,788375,4,Male,No,Excellent,PhD
EMP100238,Finance,566780,3,Male,Yes,Excellent,PhD
EMP100239,IT,822334,3,Male,No,Poor,MBA
EMP100240,Finance,1400711,9,Female,No,Average,BBA
EMP100241,Customer Support,1044019,7,Female,No,Excellent,M.Com
EMP100242,IT,1431886,7,Female,No,Average,M.Tech
EMP100243,HR,1257476,7,Female,No,Good,MCA
EMP100244,Marketing,1829594,11,Male,No,Average,B.Tech
EMP100246,Customer Support,1654465,13,Female,No,Excellent,BBA
EMP100247,IT,2120900,13,Female,No,Excellent,M.Com
EMP100249,Marketing,451478,0,Male,No,Good,B.Com
EMP100250,Customer Support,1129164,7,Female,No,Good,B.Com
EMP100251,Operations,1564443,15,Male,No,Average,MCA
EMP100252,Customer Support,1576288,15,Female,Yes,Poor,BCA
EMP100253,Customer Support,1883157,16,Female,Yes,Average,PhD
EMP100254,Finance,448958,0,Male,No,Excellent,MCA
EMP100255,Finance,1137997,7,Male,No,Excellent,MBA
EMP100256,IT,979103,4,Female,No,Average,B.Sc
EMP100257,Operations,1820900,12,Male,No,Good,MBA
EMP100258,Finance,703116,3,Female,No,Excellent,mba 
EMP100259,Administration,817929,6,Female,No,Good,BE
EMP100260,HR,1376342,8,Female,No,Good,PhD
EMP100261,IT,1391751,10,Male,No,Good,BCA
EMP100262,R&D,880758,6,Female,No,Good,PhD
EMP100263,Finance,1610752,15,Female,No,Average,M.Tech
EMP100264,Operations,970333,4,Male,No,Average,B.Com
EMP100265,Administration,546954,2,Male,No,EXCELLENT,MBA
EMP100266,Customer Support,722186,4,Female,Yes,Average,M.Com
EMP100267,Sales,2185578,16,Male,No,Average,M.Tech
EMP100268,Finance,2031272,11,Female,No,Excellent,BCA
EMP100269,IT,1638047,10,Male,No,Good,M.Com
EMP100270,Administration,1797909,14,Male,No,Good,MBA
EMP100271,Customer Support,1216236,8,Male,Yes,Poor,MBA
EMP100272,Finance,1124308,10,Female,Yes,Average,B.Tech
EMP100273,HR,1317002,10,Female,No,Good,B.Sc
EMP100275,Operations,603062,3,Female,No,Good,B.Com
EMP100276,Administration,436576,0,Male,Yes,Good,BCA
EMP100277,Administration,1342959,9,Female,No,Average,M.Sc
EMP100278,Finance,1931996,13,Male,No,Average,BE
EMP100279,Finance,941167,4,Male,No,Good,B.Tech
EMP100280,Finance,1094858,6,Male,No,Average,PhD
EMP100281,Legal,1316865,9,Female,Yes,Good,M.Tech
EMP100282,Legal,478227,1,Female,No,Good,PhD
EMP100283,Legal,2152355,11,Male,No,Good,MBA
EMP100284,R&D,2559650,16,Female,No,Average,M.Tech
EMP100285,HR,1006429,8,Male,No,Average,M.Com
EMP100286,R&D,1004483,6,Male,No,Good,M.Sc
EMP100287,Legal,1525209,7,Female,No,Average,B.Tech
EMP100288,HR,1334155,7,Female,No,Average,MBA
EMP100289,Administration,755477,4,Male,No,Excellent,BCA
EMP100290,Administration,769995,6,Female,No,Average,BCA
EMP100291,Operations,1008492,5,Male,Yes,Good,MCA
EMP100292,Marketing,1694339,13,Male,No,Poor,BBA
EMP100293,Customer Support,399655,0,Female,No,Good,M.Tech
EMP100294,HR,937450,5,Male,No,Excellent,M.Sc
EMP100295,Operations,700303,2,Male,No,Good,M.Com
EMP100296,R&D,1708220,12,Female,No,Good,BCA
EMP100297,Sales,2004661,13,Female,No,Excellent,B.Com
EMP100298,Sales,979831,4,Female,No,Good,M.Sc
EMP100299,IT,1527846,8,Male,No,Excellent,M.Com
EMP100300,R&D,1259647,9,Female,No,Good,B.Tech
EMP100301,Sales,998697,4,Male,No,Good,BBA
EMP100302,IT,1085751,5,Male,No,Average,B.Com
EMP100303,Finance,2090233,11,Female,No,Average,BCA
EMP100304,Customer Support,1077065,10,Female,No,Good,M.Com
EMP100305,Administration,533581,3,Male,No,Good,B.Sc
EMP100306,Operations,2141537,19,Female,No,Good,BCA
EMP100307,IT,1540750,10,Male,No,Good,B.Tech
EMP100308,R&D,989899,6,Male,No,Excellent,BCA
EMP100309,Administration,1338071,8,Female,No,Good,PhD
EMP100310,Operations,1856852,11,Male,No,Average,M.Tech
EMP100311,Sales,497527,0,Female,No,Good,M.Tech
EMP100312,Finance,1365176,10,Male,No,Average,PhD
EMP100313,IT,578212,1,Male,No,Average,BBA
EMP100314,Legal,1885433,15,Female,No,Good,MBA
EMP100315,FINANCE,1565657,9,Female,No,Good,MBA
EMP100316,R&D,1624975,9,Male,No,Average,B.Sc
EMP100317,Legal,2358127,12,Female,No,Average,MBA
EMP100318,Legal,2238332,11,Male,No,Good,BBA
EMP100319,IT,1704801,14,Female,No,Good,MBA
EMP100320,IT,1489873,9,Female,No,Good,PhD
EMP100321,Finance,670632,2,Male,No,Average,M.Sc
EMP100322,Marketing,451046,0,Male,Yes,Good,M.Com
EMP100323,IT,737736,2,Female,No,Good,B.Tech
EMP100324,Customer Support,1130457,9,Female,No,Average,B.Com
EMP100325,IT,456293,1,Female,No,Good,M.Tech
EMP100326,IT,1814057,15,Female,No,Good,BE
EMP100327,Marketing,756794,6,Female,No,Poor,M.Tech
EMP100328,HR,1770705,11,Male,No,Average,M.Com
EMP100329,Legal,554229,0,Male,No,Average,B.Com
EMP100330,Customer Support,1281553,10,Female,No,Good,B.Com
EMP100331,IT,1325996,7,Female,No,Good,M.Com
EMP100332,Marketing,591533,3,Female,No,Good,MBA
EMP100333,Customer Support,944574,9,Male,No,Good,M.Tech
EMP100334,Legal,3151238,16,Female,No,Good,B.Sc
EMP100335,Administration,1405153,14,Female,No,Good,MBA
EMP100336,Finance,813422,5,Female,No,Good,B.Com
